indicator,year,value,ci_low,ci_high,prev_value,prev_year,years_elapsed,change,annualized_change
"Adolescent birth rate, ages 10-14 (per 1000 women)",2001,8.109374046,,,,,,,
"Adolescent birth rate, ages 10-14 (per 1000 women)",2002,2.664604664,,,8.109374046,2001.0,1.0,-5.444769381999999,-5.444769381999999
"Adolescent birth rate, ages 10-14 (per 1000 women)",2004,3.530811071,,,2.664604664,2002.0,2.0,0.866206407,0.4331032035
"Adolescent birth rate, ages 10-14 (per 1000 women)",2006,2.757096529,,,3.530811071,2004.0,2.0,-0.773714542,-0.386857271
"Adolescent birth rate, ages 10-14 (per 1000 women)",2007,2.350325823,,,2.757096529,2006.0,1.0,-0.4067707060000001,-0.4067707060000001
"Adolescent birth rate, ages 10-14 (per 1000 women)",2010,3.560096741,,,2.350325823,2007.0,3.0,1.2097709180000003,0.40325697266666677
"Adolescent birth rate, ages 10-14 (per 1000 women)",2012,2.067003012,,,3.560096741,2010.0,2.0,-1.4930937290000004,-0.7465468645000002
"Adolescent birth rate, ages 10-14 (per 1000 women)",2013,3.444386244,,,2.067003012,2012.0,1.0,1.3773832320000001,1.3773832320000001
"Adolescent birth rate, ages 10-14 (per 1000 women)",2014,2.029648542,,,3.444386244,2013.0,1.0,-1.414737702,-1.414737702
"Adolescent birth rate, ages 10-14 (per 1000 women)",2018,1.343888998,,,2.029648542,2014.0,4.0,-0.6857595439999999,-0.17143988599999999
"Adolescent birth rate, ages 10-14 (per 1000 women)",2019,0.794924974,,,1.343888998,2018.0,1.0,-0.548964024,-0.548964024
"Adolescent birth rate, ages 10-14 (per 1000 women)",2020,0.653870225,,,0.794924974,2019.0,1.0,-0.14105474899999992,-0.14105474899999992
"Adolescent birth rate, ages 10-14 (per 1000 women)",2021,0.966705382,,,0.653870225,2020.0,1.0,0.312835157,0.312835157
"Adolescent birth rate, ages 10-14 (per 1000 women)",2022,0.727698267,,,0.966705382,2021.0,1.0,-0.23900711500000005,-0.23900711500000005
"Adolescent birth rate, ages 10-14 (per 1000 women)",2023,0.618875146,,,0.727698267,2022.0,1.0,-0.10882312099999991,-0.10882312099999991
"Adolescent birth rate, ages 15-19 (per 1000 women)",2001,135.65271,,,,,,,
"Adolescent birth rate, ages 15-19 (per 1000 women)",2002,114.1830902,,,135.65271,2001.0,1.0,-21.469619800000018,-21.469619800000018
"Adolescent birth rate, ages 15-19 (per 1000 women)",2004,120.4895096,,,114.1830902,2002.0,2.0,6.30641940000001,3.153209700000005
"Adolescent birth rate, ages 15-19 (per 1000 women)",2006,106.3125916,,,120.4895096,2004.0,2.0,-14.176918,-7.088459
"Adolescent birth rate, ages 15-19 (per 1000 women)",2007,102.9641037,,,106.3125916,2006.0,1.0,-3.348487900000009,-3.348487900000009
"Adolescent birth rate, ages 15-19 (per 1000 women)",2010,110.7751465,,,102.9641037,2007.0,3.0,7.81104280000001,2.6036809333333366
"Adolescent birth rate, ages 15-19 (per 1000 women)",2012,100.734108,,,110.7751465,2010.0,2.0,-10.041038499999999,-5.0205192499999995
"Adolescent birth rate, ages 15-19 (per 1000 women)",2013,98.61638641,,,100.734108,2012.0,1.0,-2.117721590000002,-2.117721590000002
"Adolescent birth rate, ages 15-19 (per 1000 women)",2014,95.67424011,,,98.61638641,2013.0,1.0,-2.9421463000000045,-2.9421463000000045
"Adolescent birth rate, ages 15-19 (per 1000 women)",2018,75.18759918,,,95.67424011,2014.0,4.0,-20.486640929999993,-5.121660232499998
"Adolescent birth rate, ages 15-19 (per 1000 women)",2019,51.00730133,,,75.18759918,2018.0,1.0,-24.18029785000001,-24.18029785000001
"Adolescent birth rate, ages 15-19 (per 1000 women)",2020,43.58792877,,,51.00730133,2019.0,1.0,-7.419372559999999,-7.419372559999999
"Adolescent birth rate, ages 15-19 (per 1000 women)",2021,51.33354568,,,43.58792877,2020.0,1.0,7.7456169100000025,7.7456169100000025
"Adolescent birth rate, ages 15-19 (per 1000 women)",2022,46.09251022,,,51.33354568,2021.0,1.0,-5.241035459999999,-5.241035459999999
"Adolescent birth rate, ages 15-19 (per 1000 women)",2023,45.80979156,,,46.09251022,2022.0,1.0,-0.28271866000000045,-0.28271866000000045
Antenatal care coverage - at least four visits (%),1993,63.9,,,,,,,
Antenatal care coverage - at least four visits (%),1998,60.8,,,63.9,1993.0,5.0,-3.1000000000000014,-0.6200000000000003
Antenatal care coverage - at least four visits (%),2003,52.3,,,60.8,1998.0,5.0,-8.5,-1.7
Antenatal care coverage - at least four visits (%),2009,47.1,,,52.3,2003.0,6.0,-5.199999999999996,-0.8666666666666659
Antenatal care coverage - at least four visits (%),2014,57.6,,,47.1,2009.0,5.0,10.5,2.1
Antenatal care coverage - at least four visits (%),2015,62.5,,,57.6,2014.0,1.0,4.899999999999999,4.899999999999999
Antenatal care coverage - at least four visits (%),2022,66.0,,,62.5,2015.0,7.0,3.5,0.5
